,,,,,
Metrics by Sample Table,,,,,
Client Label,Sample Type,Species Richness (number of OTUs),Number of OTUs named at species level,Evolutionary Diversity,Site
2023 S WH P5 S2,Client sample,41,5,5.27,Wareham
2023 S WH P5 S3,Client sample,43,7,5.44,Wareham
2023 S WH P5 S4,Client sample,30,4,4.71,Wareham
2023 S WH P5 S5,Client sample,39,7,5.9,Wareham
2023 S WH P6 S1,Client sample,45,8,6.89,Wareham
2023 S WH P6 S2,Client sample,14,2,3.03,Wareham
2023 S WH P6 S3,Client sample,41,8,5.63,Wareham
2023 S WH P6 S4,Client sample,43,5,5.83,Wareham
2023 S WH P6 S5,Client sample,14,1,1.91,Wareham
2023 S WP P1 S1,Client sample,24,1,4.56,Wareham
2023 S WP P1 S2,Client sample,33,5,4.58,Wareham
2023 S WP P1 S3,Client sample,40,4,6.03,Wareham
2023 S WP P1 S4,Client sample,38,7,4.83,Wareham
2023 S WP P1 S5,Client sample,55,9,6.75,Wareham
2023 S WP P2 S1,Client sample,41,6,5.67,Wareham
2023 S WP P2 S2,Client sample,44,5,6.16,Wareham
2023 S WP P2 S3,Client sample,27,4,4.73,Wareham
2023 S WP P2 S4,Client sample,33,5,5.35,Wareham
2023 S WP P2 S5,Client sample,22,4,3.73,Wareham
2023 S WP P3 S1,Client sample,10,1,1.68,Wareham
2023 S WP P3 S2,Client sample,30,3,3.28,Wareham
2023 S WP P3 S3,Client sample,22,3,2.98,Wareham
2023 S WP P3 S4,Client sample,43,12,6.21,Wareham
2023 S WP P3 S5,Client sample,22,5,3.62,Wareham
2023 S WP P4 S1,Client sample,25,5,4.16,Wareham
2023 S WP P4 S2,Client sample,26,5,4.36,Wareham
2023 S WP P4 S3,Client sample,9,1,2.16,Wareham
2023 S WP P4 S4,Client sample,15,2,2.04,Wareham
2023 S WP P4 S5,Client sample,11,2,1.95,Wareham
2023 S WP P5 S1,Client sample,45,7,6.26,Wareham
2023 S WP P5 S2,Client sample,39,4,5.4,Wareham
2023 S WP P5 S3,Client sample,35,6,5.44,Wareham
2023 S WP P5 S4,Client sample,56,7,7.94,Wareham
2023 S WP P5 S5,Client sample,25,2,4.18,Wareham
2023 S WP P6 S1,Client sample,45,9,7.15,Wareham
2023 S WP P6 S2,Client sample,20,3,4.05,Wareham
2023 S WP P6 S3,Client sample,27,4,4.18,Wareham
2023 S WP P6 S4,Client sample,31,3,4.29,Wareham
2023 S WP P6 S5,Client sample,30,4,4.98,Wareham
2023 S WP P7 S1,Client sample,15,2,3.15,Wareham
2023 S WP P7 S2,Client sample,35,5,5.58,Wareham
2023 S WP P7 S3,Client sample,20,5,3.18,Wareham
2023 S WP P7 S4,Client sample,27,4,4.66,Wareham
2023 S WP P7 S5,Client sample,40,8,5.97,Wareham
2023 S WP P8 S1,Client sample,44,7,5.53,Wareham
2023 S WP P8 S2,Client sample,41,6,5.87,Wareham
2023 S WP P8 S3,Client sample,6,0,0.89,Wareham
2023 S WP P8 S4,Client sample,20,1,4.02,Wareham
2023 S WP P8 S5,Client sample,24,2,3.68,Wareham
2023 S WP P9 S1,Client sample,22,3,4.65,Wareham
2023 S WP P9 S2,Client sample,19,5,3.5,Wareham
2023 S WP P9 S3,Client sample,45,5,6.76,Wareham
2023 S WP P9 S4,Client sample,11,2,2.81,Wareham
2023 S WP P9 S5,Client sample,30,3,5.17,Wareham
2023 W BH1 P1 S1,Client sample,44,8,6.13,Neroche
2023 W BH1 P1 S2,Client sample,29,2,4.78,Neroche
2023 W BH1 P1 S3,Client sample,30,6,3.88,Neroche
2023 W BH1 P1 S4,Client sample,32,8,5.71,Neroche
2023 W BH1 P1 S5,Client sample,56,7,6.89,Neroche
2023 W BH1 P10 S1,Client sample,23,4,2.91,Neroche
2023 W BH1 P10 S2,Client sample,27,5,3.81,Neroche
2023 W BH1 P10 S3,Client sample,14,4,1.86,Neroche
2023 W BH1 P10 S4,Client sample,29,3,4.41,Neroche
2023 W BH1 P10 S5,Client sample,20,3,3.9,Neroche
2023 W BH1 P2 S1,Client sample,7,1,0.92,Neroche
2023 W BH1 P2 S2,Client sample,44,6,6.3,Neroche
2023 W BH1 P2 S3,Client sample,39,10,5.95,Neroche
2023 W BH1 P2 S4,Client sample,15,2,3.05,Neroche
2023 W BH1 P2 S5,Client sample,27,7,4.19,Neroche
2023 W BH1 P3 S1,Client sample,34,8,4.39,Neroche
2023 W BH1 P3 S2,Client sample,10,1,2.21,Neroche
2023 W BH1 P3 S3,Client sample,24,5,3.41,Neroche
2023 W BH1 P3 S4,Client sample,29,4,4.06,Neroche
2023 W BH1 P3 S5,Client sample,15,4,2.93,Neroche
2023 W BH1 P4 S1,Client sample,18,2,2.82,Neroche
2023 W BH1 P4 S2,Client sample,26,5,4.19,Neroche
2023 W BH1 P4 S3,Client sample,19,4,3.03,Neroche
2023 W BH1 P4 S4,Client sample,39,4,5.28,Neroche
2023 W BH1 P4 S5,Client sample,28,6,3.65,Neroche
2023 W BH1 P5 S1,Client sample,32,7,4.73,Neroche
2023 W BH1 P5 S2,Client sample,27,6,4.14,Neroche
2023 W BH1 P5 S3,Client sample,13,2,1.92,Neroche
2023 W BH1 P5 S4,Client sample,26,5,4.69,Neroche
2023 W BH1 P5 S5,Client sample,15,1,2.07,Neroche
2023 W BH1 P6 S1,Client sample,17,2,2.76,Neroche
2023 W BH1 P6 S2,Client sample,41,8,4.99,Neroche
2023 W BH1 P6 S3,Client sample,8,2,1.81,Neroche
2023 W BH1 P6 S4,Client sample,24,5,4.54,Neroche
2023 W BH1 P6 S5,Client sample,26,5,3.3,Neroche
2023 W BH1 P7 S1,Client sample,36,3,5.28,Neroche
2023 W BH1 P7 S2,Client sample,9,1,1.43,Neroche
2023 W BH1 P7 S3,Client sample,21,2,2.62,Neroche
2023 W BH1 P7 S4,Client sample,26,6,4.02,Neroche
2023 W BH1 P7 S5,Client sample,16,3,3.23,Neroche
2023 W BH1 P8 S1,Client sample,13,2,2.11,Neroche
2023 W BH1 P8 S2,Client sample,32,5,3.69,Neroche
2023 W BH1 P8 S3,Client sample,36,6,6.27,Neroche
2023 W BH1 P8 S4,Client sample,13,1,1.89,Neroche
2023 W BH1 P8 S5,Client sample,21,5,3.51,Neroche
2023 W BH1 P9 S1,Client sample,22,3,3.5,Neroche
2023 W BH1 P9 S2,Client sample,22,3,3.77,Neroche
2023 W BH1 P9 S3,Client sample,28,2,4.85,Neroche
2023 W BH1 P9 S4,Client sample,12,3,2.14,Neroche
2023 W BH1 P9 S5,Client sample,16,0,2.42,Neroche
2023 W FD1 P1 S1,Client sample,42,4,5.85,Forest of Dean
2023 W FD1 P1 S2,Client sample,27,4,3.55,Forest of Dean
2023 W FD1 P1 S3,Client sample,7,1,1.09,Forest of Dean
2023 W FD1 P1 S4,Client sample,53,8,6.54,Forest of Dean
2023 W FD1 P1 S5,Client sample,28,3,3.91,Forest of Dean
2023 W FD1 P2 S1,Client sample,55,9,7.36,Forest of Dean
2023 W FD1 P2 S2,Client sample,6,2,1.66,Forest of Dean
2023 W FD1 P2 S3,Client sample,6,1,1.18,Forest of Dean
2023 W FD1 P2 S4,Client sample,30,5,4.46,Forest of Dean
2023 W FD1 P2 S5,Client sample,26,6,4.04,Forest of Dean
2023 W FD1 P3 S1,Client sample,21,1,4.55,Forest of Dean
2023 W FD1 P3 S2,Client sample,15,2,2.77,Forest of Dean
2023 W FD1 P3 S3,Client sample,31,6,3.53,Forest of Dean
2023 W FD1 P3 S4,Client sample,24,2,3.97,Forest of Dean
2023 W FD1 P3 S5,Client sample,12,0,2.46,Forest of Dean
2023 W FD1 P4 S1,Client sample,32,3,4.01,Forest of Dean
2023 W FD1 P4 S2,Client sample,39,8,5.64,Forest of Dean
2023 W FD1 P4 S3,Client sample,31,7,4.47,Forest of Dean
2023 W FD1 P4 S4,Client sample,16,2,2.24,Forest of Dean
2023 W FD1 P4 S5,Client sample,15,3,2.54,Forest of Dean
2023 W FD1 P5 S1,Client sample,10,1,2.38,Forest of Dean
2023 W FD1 P5 S2,Client sample,42,6,4.99,Forest of Dean
2023 W FD1 P5 S3,Client sample,2,0,0.08,Forest of Dean
2023 W FD1 P5 S4,Client sample,23,5,3.8,Forest of Dean
2023 W FD1 P5 S5,Client sample,15,0,2.96,Forest of Dean
2023 W FD1 P6 S1,Client sample,6,1,1.13,Forest of Dean
2023 W FD1 P6 S2,Client sample,14,2,2.85,Forest of Dean
2023 W FD1 P6 S3,Client sample,24,4,4.78,Forest of Dean
2023 W FD1 P6 S4,Client sample,44,6,5.72,Forest of Dean
2023 W FD1 P6 S5,Client sample,19,4,3.9,Forest of Dean
2023 Y K P1 S1,Client sample,22,6,3.7,Knapton
2023 Y K P1 S2,Client sample,18,3,3.27,Knapton
2023 Y K P1 S3,Client sample,22,5,3.79,Knapton
2023 Y K P1 S4,Client sample,19,4,3.45,Knapton
2023 Y K P1 S5,Client sample,17,3,2.92,Knapton
2023 Y K P2 S1,Client sample,8,1,1.84,Knapton
2023 Y K P2 S2,Client sample,22,4,4.21,Knapton
2023 Y K P2 S3,Client sample,15,3,3.29,Knapton
2023 Y K P2 S4,Client sample,13,4,2.83,Knapton
2023 Y K P2 S5,Client sample,20,9,3.7,Knapton
2023 Y K P3 S1,Client sample,9,0,2.72,Knapton
2023 Y K P3 S2,Client sample,11,2,1.92,Knapton
2023 Y K P3 S3,Client sample,6,2,1.67,Knapton
2023 Y K P3 S4,Client sample,13,4,3.08,Knapton
2023 Y K P3 S5,Client sample,14,3,2.12,Knapton
2023 Y K P4 S1,Client sample,5,0,0.93,Knapton
2023 Y K P4 S2,Client sample,14,3,2.39,Knapton
2023 Y K P4 S3,Client sample,14,2,2.9,Knapton
2023 Y K P4 S4,Client sample,8,1,1.5,Knapton
2023 Y K P4 S5,Client sample,13,2,2.26,Knapton
2023 Y LE1 P1 S1,Client sample,4,0,0.59,Levisham
2023 Y LE1 P1 S2,Client sample,17,5,2.85,Levisham
2023 Y LE1 P1 S3,Client sample,24,3,4.51,Levisham
2023 Y LE1 P1 S4,Client sample,5,2,0.9,Levisham
2023 Y LE1 P1 S5,Client sample,9,0,1.34,Levisham
2023 Y LE1 P2 S1,Client sample,29,2,5.26,Levisham
2023 Y LE1 P2 S2,Client sample,20,3,4,Levisham
2023 Y LE1 P2 S3,Client sample,2,0,1.07,Levisham
2023 Y LE1 P2 S4,Client sample,6,0,1.2,Levisham
2023 Y LE1 P2 S5,Client sample,28,5,3.98,Levisham
2023 Y LE1 P3 S1,Client sample,6,0,1.19,Levisham
2023 Y LE1 P3 S2,Client sample,10,0,2.16,Levisham
2023 Y LE1 P3 S3,Client sample,22,3,3.8,Levisham
2023 Y LE1 P3 S4,Client sample,3,0,0.56,Levisham
2023 Y LE1 P3 S5,Client sample,8,0,2.14,Levisham
2023 Y LE1 P4 S1,Client sample,13,1,2.26,Levisham
2023 Y LE1 P4 S2,Client sample,4,0,0.59,Levisham
2023 Y LE1 P4 S3,Client sample,14,2,2.07,Levisham
2023 Y LE1 P4 S4,Client sample,4,0,0.59,Levisham
2023 Y LE1 P4 S5,Client sample,10,1,1.85,Levisham
2023 Y LE1 P5 S1,Client sample,3,0,0.56,Levisham
2023 Y LE1 P5 S2,Client sample,11,1,2.71,Levisham
2023 Y LE1 P5 S3,Client sample,10,2,2.44,Levisham
2023 Y LE1 P5 S4,Client sample,12,2,3.03,Levisham
2023 Y LE1 P5 S5,Client sample,3,1,1.25,Levisham
2023 Y NE1 P1 S2,Client sample,20,2,3.87,Newtondale
2023 Y NE1 P1 S3,Client sample,16,3,2.55,Newtondale
2023 Y NE1 P1 S4,Client sample,39,5,6.12,Newtondale
2023 Y NE1 P1 S5,Client sample,5,0,1.32,Newtondale
2023 Y NE1 P10 S1,Client sample,15,3,2.27,Newtondale
2023 Y NE1 P10 S4,Client sample,14,2,2.05,Newtondale
2023 Y NE1 P2 S1,Client sample,24,5,3.22,Newtondale
2023 Y NE1 P2 S2,Client sample,35,8,5.55,Newtondale
2023 Y NE1 P2 S3,Client sample,56,14,6.48,Newtondale
2023 Y NE1 P2 S4,Client sample,28,7,3.46,Newtondale
2023 Y NE1 P2 S5,Client sample,47,9,6.66,Newtondale
2023 Y NE1 P3 S1,Client sample,57,12,6.39,Newtondale
2023 Y NE1 P3 S2,Client sample,50,9,6.17,Newtondale
2023 Y NE1 P3 S3,Client sample,47,4,6.14,Newtondale
2023 Y NE1 P3 S4,Client sample,13,2,2.47,Newtondale
2023 Y NE1 P3 S5,Client sample,30,6,3.79,Newtondale
2023 Y NE1 P4 S1,Client sample,15,2,2.87,Newtondale
2023 Y NE1 P4 S3,Client sample,28,7,5.36,Newtondale
2023 Y NE1 P4 S4 (1),Client sample,28,7,3.57,Newtondale
2023 Y NE1 P4 S4 (2),Client sample,12,1,2.23,Newtondale
2023 Y NE1 P4 S5,Client sample,35,5,3.98,Newtondale
2023 Y NE1 P5 S1,Client sample,13,3,2.75,Newtondale
2023 Y NE1 P5 S2,Client sample,7,1,1.88,Newtondale
2023 Y NE1 P5 S3,Client sample,25,3,4.69,Newtondale
2023 Y NE1 P5 S4,Client sample,18,4,2.96,Newtondale
2023 Y NE1 P5 S5,Client sample,9,1,1.46,Newtondale
2023 Y NE1 P6 S2,Client sample,26,3,3.96,Newtondale
2023 Y NE1 P6 S3,Client sample,15,1,2.15,Newtondale
2023 Y NE1 P6 S4,Client sample,28,3,3.41,Newtondale
2023 Y NE1 P6 S5,Client sample,14,2,1.85,Newtondale
2023 Y NE1 P7 S1,Client sample,44,7,5.2,Newtondale
2023 Y NE1 P7 S2,Client sample,24,5,3.13,Newtondale
2023 Y NE1 P7 S3,Client sample,40,8,6.55,Newtondale
2023 Y NE1 P7 S4,Client sample,21,3,3.3,Newtondale
2023 Y NE1 P7 S5 (1),Client sample,27,1,3.54,Newtondale
2023 Y NE1 P7 S5 (2),Client sample,32,4,4.54,Newtondale
2023 Y NE1 P8 S1,Client sample,9,2,1.33,Newtondale
2023 Y NE1 P8 S2,Client sample,18,2,2.22,Newtondale
2023 Y NE1 P8 S3 (1),Client sample,6,1,0.87,Newtondale
2023 Y NE1 P8 S3 (2),Client sample,24,2,2.97,Newtondale
2023 Y NE1 P8 S5,Client sample,20,6,3.65,Newtondale
2023 Y NE1 P9 S1,Client sample,12,1,1.91,Newtondale
2023 Y NE1 P9 S2,Client sample,30,5,4.62,Newtondale
2023 Y NE1 P9 S3,Client sample,33,6,4.74,Newtondale
2023 Y NE1 P9 S4,Client sample,34,4,4.47,Newtondale
2023 Y NE1 P9 S5,Client sample,25,4,4.14,Newtondale
2023 Y WS1 P1 S1,Client sample,16,3,2.56,Wormsike
2023 Y WS1 P1 S2,Client sample,5,0,1.14,Wormsike
2023 Y WS1 P1 S3,Client sample,5,1,1.01,Wormsike
2023 Y WS1 P1 S4,Client sample,33,6,4.85,Wormsike
2023 Y WS1 P1 S5,Client sample,15,2,2.54,Wormsike
2023 Y WS1 P2 S1,Client sample,6,0,1.04,Wormsike
2023 Y WS1 P2 S2,Client sample,20,3,3.66,Wormsike
2023 Y WS1 P2 S3,Client sample,2,0,0.39,Wormsike
2023 Y WS1 P2 S4,Client sample,19,4,3.6,Wormsike
2023 Y WS1 P2 S5,Client sample,15,3,3.54,Wormsike
2023 Y WS1 P3 S1,Client sample,27,6,3.4,Wormsike
2023 Y WS1 P3 S2,Client sample,8,1,1.12,Wormsike
2023 Y WS1 P3 S3,Client sample,6,0,0.97,Wormsike
2023 Y WS1 P3 S4,Client sample,1,0,NA,Wormsike
2023 Y WS1 P3 S5,Client sample,11,0,2.97,Wormsike
2034 Y NE1 P10 S2,Client sample,15,3,2.2,Newtondale
